service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
AFA20GEN-4049-Sunday-00,0,0,0,0,0,0,1,20201004,20201101
AFA20GEN-5048-Sunday-00,0,0,0,0,0,0,1,20201004,20201101
AFA20GEN-6030-Sunday-00,0,0,0,0,0,0,1,20201004,20201101
AFA20GEN-7025-Sunday-00,0,0,0,0,0,0,1,20201004,20201101
BSP20GEN-A052-Sunday-00,0,0,0,0,0,0,1,20201004,20201101
BSP20GEN-C027-Sunday-00,0,0,0,0,0,0,1,20201004,20201101
BSP20GEN-D040-Sunday-00,0,0,0,0,0,0,1,20201004,20201101
BSP20GEN-E046-Sunday-00,0,0,0,0,0,0,1,20201004,20201101
BSP20GEN-F048-Sunday-00,0,0,0,0,0,0,1,20201004,20201101
BSP20GEN-FS012-Sunday-00,0,0,0,0,0,0,1,20201004,20201101
BSP20GEN-G037-Sunday-00,0,0,0,0,0,0,1,20201004,20201101
AFA20GEN-GS011-Sunday-00,0,0,0,0,0,0,1,20201004,20201101
BSP20GEN-H024-Sunday-00,0,0,0,0,0,0,1,20201004,20201101
BSP20GEN-J032-Sunday-00,0,0,0,0,0,0,1,20201004,20201101
BSP20GEN-L022-Sunday-00,0,0,0,0,0,0,1,20201004,20201101
BSP20GEN-M023-Sunday-00,0,0,0,0,0,0,1,20201004,20201101
BSP20GEN-N058-Sunday-00,0,0,0,0,0,0,1,20201004,20201101
BSP20GEN-Q023-Sunday-00,0,0,0,0,0,0,1,20201004,20201101
BSP20GEN-R050-Sunday-00,0,0,0,0,0,0,1,20201004,20201101
SIR-FA2017-SI017-Sunday-00,0,0,0,0,0,0,1,20201004,20201101
